413;414
413;415
413;57
413;59
413;153
413;416
417;414
0;37
0;321
0;415
0;4
0;5
0;418
0;419
0;8
0;50
0;420
0;421
0;9
0;11
0;422
0;423
0;424
0;425
0;426
0;427
0;428
0;429
0;430
0;431
0;432
0;433
0;434
0;435
0;436
0;437
0;438
0;439
0;440
0;441
0;442
0;18
0;19
0;51
0;22
0;43
0;443
0;444
36;37
36;445
36;38
36;61
36;152
36;39
36;40
37;414
37;0
37;36
37;27
37;415
37;6
37;42
37;446
37;418
37;419
37;7
37;77
37;49
37;56
37;57
37;447
37;90
37;59
37;43
37;50
37;448
37;443
37;449
37;450
37;332
37;333
37;339
37;38
37;60
37;45
37;46
37;318
37;111
37;451
37;62
37;335
37;152
37;39
37;452
37;432
37;436
37;439
37;442
37;64
37;19
37;176
37;453
37;51
37;40
37;65
321;0
27;7
27;49
72;73
72;447
74;56
74;57
74;59
74;43
415;57
4;58
75;73
75;447
75;37
75;415
75;7
75;454
75;455
456;457
5;43
337;0
337;321
337;72
337;75
337;447
337;458
337;459
337;460
337;354
337;134
337;132
337;179
337;338
6;0
6;37
6;42
6;7
6;43
6;39
6;461
6;439
6;457
6;51
6;462
42;0
42;37
42;7
42;59
42;50
42;339
42;38
42;463
42;9
42;60
42;44
42;340
42;464
42;45
42;46
42;425
42;335
42;39
42;437
42;439
42;88
42;292
42;51
42;65
446;37
446;42
446;50
446;38
446;60
446;45
446;117
418;419
419;418
7;0
7;37
7;72
7;42
7;77
7;56
7;57
7;447
7;59
7;43
7;50
7;448
7;449
7;333
7;339
7;44
7;45
7;39
7;454
7;465
7;466
7;433
7;436
7;437
7;438
7;441
7;176
7;80
7;467
7;65
7;81
7;19
7;82
7;83
77;0
77;415
77;7
77;56
77;57
77;43
77;465
77;466
77;441
77;468
77;176
77;59
49;226
49;67
49;40
56;7
56;57
56;50
56;469
56;470
56;454
57;414
57;417
57;0
57;37
57;415
57;7
57;77
57;49
57;56
57;447
57;90
57;59
57;43
57;50
57;213
57;471
57;469
57;470
57;454
57;472
57;473
57;474
57;475
57;476
57;477
57;478
57;468
57;40
447;417
447;37
447;415
447;7
447;50
447;479
447;454
447;477
447;19
58;75
58;56
58;57
58;59
58;50
58;87
58;88
58;89
58;40
58;97
90;0
90;58
90;8
90;50
59;0
59;456
59;38
59;438
59;457
59;51
59;89
480;417
480;27
480;7
480;77
480;56
480;57
480;43
481;417
481;7
481;49
481;57
43;0
43;37
43;27
43;74
43;418
43;419
43;7
43;77
43;56
43;57
43;59
43;50
43;420
43;443
43;332
43;333
43;471
